372459.74634775,4949076.65491865,1
372460.50390364,4949077.69882153,1
372461.25958941,4949078.74348056,1
372462.01527518,4949079.7881396,1
372462.77096096,4949080.83279863,1
372463.52664673,4949081.87745766,1
372464.2823325,4949082.92211669,1
372465.03801828,4949083.96677573,1
372465.79370405,4949085.01143476,1
372466.57023802,4949086.04592839,1
372467.40155982,4949087.04799039,1
372468.24777739,4949088.03929355,1
372469.04163107,4949089.0256054,1
372469.76527229,4949090.08628075,1
372470.44717818,4949091.19308091,1
372471.11844047,4949092.3010859,1
372471.74429654,4949093.43290905,1
372472.28385131,4949094.59093769,1
372472.80812602,4949095.75060115,1
372473.33240073,4949096.91026461,1
372473.86086786,4949098.06953715,1
372474.37643284,4949099.30636712,1
372474.87743081,4949100.50713811,1
372475.34536145,4949101.76415402,1
372475.80198881,4949102.98469881,1
372476.25861617,4949104.20524361,1
372476.71524354,4949105.4257884,1
372477.17339546,4949106.64568884,1
372477.64962441,4949107.85653915,1
372478.1830508,4949108.9980353,1
372478.81527992,4949110.10174041,1
372479.47852187,4949111.22615952,1
372480.13867658,4949112.36190457,1
372480.78146326,4949113.49551052,1
372481.44611987,4949114.61358345,1
372482.167275,4949115.6900164,1
372482.89340524,4949116.76159785,1
372483.60017712,4949117.84983168,1
372484.27133796,4949118.97139078,1
372484.95505105,4949120.06470065,1
372485.71153217,4949121.07081619,1
372486.6094039,4949121.96145408,1
372487.58446317,4949122.82578597,1
372488.55953488,4949123.69010252,1
372489.91920096,4949124.97993842,1
372491.31120423,4949126.33984947,1
372492.68587102,4949127.74105741,1
372494.17298952,4949129.70527457,1
372495.29010682,4949131.66616663,1
372496.20958777,4949133.35866864,1
372497.1229993,4949135.02123478,1
372498.05754116,4949136.71186022,1
372498.94656346,4949138.32598801,1
372499.9214234,4949139.89577833,1
372500.90417833,4949141.16407739,1
372502.0113986,4949142.48058178,1
372503.28933146,4949143.94416813,1
372504.53952785,4949145.16033195,1
372505.93580236,4949146.24384994,1
372507.3616545,4949147.30720287,1
372508.834467,4949148.38853352,1
372510.24953907,4949149.3989122,1
372511.70976108,4949150.47321161,1
372513.0680438,4949151.52588289,1
372514.4067824,4949152.57334488,1
372515.86238486,4949153.78205554,1
372517.32079852,4949154.90743917,1
372518.72823948,4949155.98020007,1
372520.08184436,4949157.02966178,1
372521.65482342,4949158.48729534,1
372523.5355269,4949159.99451966,1
372525.22217991,4949161.19410095,1
372526.73902463,4949162.2792389,1
372528.26263313,4949163.40305323,1
372529.81785749,4949164.56970452,1
372531.37241536,4949165.73699575,1
372532.6252205,4949166.81580133,1
372534.04931689,4949168.08485292,1
372535.47793683,4949169.39474674,1
372536.8490558,4949170.72496395,1
372538.71944642,4949172.2621526,1
372540.2181585,4949173.43977633,1
372541.55185354,4949174.52044657,1
372542.96852271,4949175.76644527,1
372544.22752971,4949176.94779559,1
372545.47559315,4949178.10574897,1
372546.67605156,4949179.17455095,1
372547.79250574,4949180.29676532,1
372548.75054756,4949181.24857368,1
372549.76463936,4949182.35530356,1
372550.6913365,4949183.3789928,1
372551.60416985,4949184.60464826,1
372552.40554605,4949185.72367589,1
372552.99778394,4949186.80120037,1
372553.59393013,4949187.95990779,1
372554.16687776,4949189.12950704,1
372554.70125424,4949190.31054199,1
372555.18545189,4949191.43066314,1
372555.41535962,4949192.04047062,1
372555.63616872,4949192.65356655,1
372555.85026939,4949193.26910597,1
372556.06437006,4949193.88464539,1
